"Port","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15","ADC","DAC"
"PC2","-","EVENTOUT","TIM1_CH3","-","-","-","-","-","-","-","-","-","-","-","-","-","ADC1_CH8/ADC2_CH8","-"
"PC3","-","EVENTOUT","TIM1_CH4","-","-","-","TIM1_BKIN2","-","-","-","-","-","-","-","-","-","ADC1_CH9/ADC2_CH9","-"
"PC4","-","EVENTOUT","TIM1_ETR","-","-","-","-","USART1_TX","-","-","-","-","-","-","-","-","ADC2_CH5","-"
"PC5","-","EVENTOUT","TIM15_BKIN","TSC_G3_IO1","-","-","-","USART1_RX","-","-","-","-","-","-","-","-","ADC2_CH11","-"
"PC6","-","EVENTOUT","TIM3_CH1","HRTIM1_EEV10 ","-","-","-","COMP6_OUT","-","-","-","-","-","-","-","-","-","-"
"PC7","-","EVENTOUT","TIM3_CH2","HRTIM1_FLT5","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PC8","-","EVENTOUT","TIM3_CH3","HRTIM1_CHE1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PC9","-","EVENTOUT","TIM3_CH4","HRTIM1_CHE2","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PC10","-","EVENTOUT","-","-","-","-","-","USART3_TX","-","-","-","-","-","-","-","-","-","-"
"PC11","-","EVENTOUT","-","HRTIM1_EEV2","-","-","-","USART3_RX","-","-","-","-","-","-","-","-","-","-"
"PC12","-","EVENTOUT","-","HRTIM1_EEV1","-","-","-","USART3_CK","-","-","-","-","-","-","-","-","-","-"
"PC13","-","-","-","-","TIM1_CH1N","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PC14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PC15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PD2","-","EVENTOUT","TIM3_ETR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PF0","-","-","-","-","-","-","TIM1_CH3N","-","-","-","-","-","-","-","-","-","-","-"
"PF1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
